input_id	dealiased_id	standard_id	short_id
doi:10.1017/jfm.2018.308	doi:10.1017/jfm.2018.308	doi:10.1017/jfm.2018.308	Am2lHjlf
doi:10.1007/s10236-017-1088-6	doi:10.1007/s10236-017-1088-6	doi:10.1007/s10236-017-1088-6	15pVDN5iT
doi:10.1029/2018GL081848	doi:10.1029/2018GL081848	doi:10.1029/2018gl081848	gTRRQNZr
doi:10.1029/2019GL083675	doi:10.1029/2019GL083675	doi:10.1029/2019gl083675	13Vb7Yqow
doi:10.1016/j.ocemod.2017.10.006	doi:10.1016/j.ocemod.2017.10.006	doi:10.1016/j.ocemod.2017.10.006	1E9h4czjP
doi:10.1002/2017JC013400	doi:10.1002/2017JC013400	doi:10.1002/2017jc013400	HtEwHsC2
doi:10.1175/JPO-D-20-0052.1	doi:10.1175/JPO-D-20-0052.1	doi:10.1175/jpo-d-20-0052.1	QqHTV9Cl
doi:10.1029/2018JC014140	doi:10.1029/2018JC014140	doi:10.1029/2018jc014140	1Gv5z6kvv
doi:10.3390/rs11111336	doi:10.3390/rs11111336	doi:10.3390/rs11111336	4vnsME8d
doi:10.31223/osf.io/yzj9v	doi:10.31223/osf.io/yzj9v	doi:10.31223/osf.io/yzj9v	Ppf1YcyC
doi:10.3390/rs12040734	doi:10.3390/rs12040734	doi:10.3390/rs12040734	NbsubMP5
doi:10.5281/zenodo.4032732	doi:10.5281/zenodo.4032732	doi:10.5281/zenodo.4032732	1Eq2nvdBF
doi:10.1029/2019JC015827	doi:10.1029/2019JC015827	doi:10.1029/2019jc015827	1BSABxXI4
doi:10.1002/essoar.10501077.1	doi:10.1002/essoar.10501077.1	doi:10.1002/essoar.10501077.1	11zCXj7vn
doi:10.1017/jfm.2019.300	doi:10.1017/jfm.2019.300	doi:10.1017/jfm.2019.300	SJkxrwof
doi:10.1029/2020MS002090	doi:10.1029/2020MS002090	doi:10.1029/2020ms002090	15yaLbry2
doi:10.1002/essoar.10504082.1	doi:10.1002/essoar.10504082.1	doi:10.1002/essoar.10504082.1	SnCClNEO
doi:10.1029/2019MS001801	doi:10.1029/2019MS001801	doi:10.1029/2019ms001801	VCAULOnN
doi:10.1016/j.ocemod.2015.09.005	doi:10.1016/j.ocemod.2015.09.005	doi:10.1016/j.ocemod.2015.09.005	E0Nq7S05
doi:10.1029/2011GL048401	doi:10.1029/2011GL048401	doi:10.1029/2011gl048401	10DhmyCRX
doi:10.1016/j.ocemod.2008.11.007	doi:10.1016/j.ocemod.2008.11.007	doi:10.1016/j.ocemod.2008.11.007	14LONx0YR
doi:10.5194/os-3-509-2007	doi:10.5194/os-3-509-2007	doi:10.5194/os-3-509-2007	yT8ycm4C
doi:10.1007/s10236-006-0082-1	doi:10.1007/s10236-006-0082-1	doi:10.1007/s10236-006-0082-1	VkiU5pVu
doi:10.5194/gmd-2019-341	doi:10.5194/gmd-2019-341	doi:10.5194/gmd-2019-341	IMeujuB0
doi:10.1063/1.4813812	doi:10.1063/1.4813812	doi:10.1063/1.4813812	8CRcOVNG
doi:10.1016/j.ocemod.2011.03.007	doi:10.1016/j.ocemod.2011.03.007	doi:10.1016/j.ocemod.2011.03.007	1Bj6s1t2P
doi:10.1175/JPO-D-14-0259.1	doi:10.1175/JPO-D-14-0259.1	doi:10.1175/jpo-d-14-0259.1	J6DoyYbs
doi:10.1175/JPO-D-14-0201.1	doi:10.1175/JPO-D-14-0201.1	doi:10.1175/jpo-d-14-0201.1	9ffNpzw6
doi:10.1007/s10236-012-0531-y	doi:10.1007/s10236-012-0531-y	doi:10.1007/s10236-012-0531-y	lx7Lg849
doi:10.1175/2010JPO4364.1	doi:10.1175/2010JPO4364.1	doi:10.1175/2010jpo4364.1	1203Z7RsT
doi:10.1029/2009GL038227	doi:10.1029/2009GL038227	doi:10.1029/2009gl038227	nTCUaUWm
doi:10.5194/osd-4-653-2007	doi:10.5194/osd-4-653-2007	doi:10.5194/osd-4-653-2007	wpruDtsn
doi:10.1016/j.dsr2.2014.01.017	doi:10.1016/j.dsr2.2014.01.017	doi:10.1016/j.dsr2.2014.01.017	Vyh6n3vi
doi:10.1002/2015JC011115	doi:10.1002/2015JC011115	doi:10.1002/2015jc011115	iYil0rJk
doi:10.1175/JTECH-D-16-0048.1	doi:10.1175/JTECH-D-16-0048.1	doi:10.1175/jtech-d-16-0048.1	Dm3S5cby
doi:10.3390/rs10040599	doi:10.3390/rs10040599	doi:10.3390/rs10040599	3gAOh6ao
doi:10.1175/JTECH-D-20-0001.1	doi:10.1175/JTECH-D-20-0001.1	doi:10.1175/jtech-d-20-0001.1	RnZWvdOj
doi:10.3389/fmars.2019.00822	doi:10.3389/fmars.2019.00822	doi:10.3389/fmars.2019.00822	11SrwE3dG
